# Columns: ZIP/Location,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"Martínez::Veracruz::Mexico",2.2,1,231,20.0600,-97.0500,0,"Martínez",""
"Papantla::Veracruz::Mexico",4.2,1,249,20.4600,-97.3300,0,"Papantla",""
"Paso del Toro::Veracruz::Mexico",4.4,2,260,19.0300,-96.1200,0,"Paso del Toro",""
"Perote::Veracruz::Mexico",3.4,1,181,19.5700,-97.2300,0,"Perote",""
"Poza Rica::Veracruz::Mexico",2.0,4,250,20.5500,-97.4700,0,"Poza Rica",""
"San Rafael::Veracruz::Mexico",3.1,1,256,20.2000,-96.8500,0,"San Rafael",""
"Tenango de Río Blanco::Veracruz::Mexico",5.7,3,158,18.8500,-97.1100,0,"Tenango de Río Blanco",""
"Tierra Blanca::Veracruz::Mexico",4.5,2,233,18.4500,-96.3400,0,"Tierra Blanca",""
"Veracruz::Veracruz::Mexico",4.3,22,262,19.1900,-96.1400,0,"Veracruz",""
"Xalapa::Veracruz::Mexico",4.0,12,204,19.5300,-96.9200,0,"Xalapa",""
"Zongólica::Veracruz::Mexico",8.2,1,168,18.6700,-96.9800,0,"Zongólica",""
