,Network,Station,Channel,Location,Distance,Azimuth,Phase,ArrivalTime,Status,Residual,WeightGI RETA HHZ --,2.0272,105.19,Pn,2017-09-08T04:49:53.1Z,manual,-0.2,0
68,C1 VA02 BHZ --,44.6644,200.09799999999998,P,2017-09-08T04:57:26.47Z,automatic,-0.1,0.97,,,,,,,,,,
69,CN DRLN BHZ --,45.1008,33.1003,P,2017-09-08T04:57:30.85Z,automatic,0.8,0.98,,,,,,,,,,
70,IU LCO BHZ 10,49.1429,153.059,P,2017-09-08T04:58:00.82Z,automatic,-1.0,1.02,,,,,,,,,,
71,C1 VA04 BHZ --,50.476000000000006,163.857,P,2017-09-08T04:58:12.43Z,manual,0.8,1.04,,,,,,,,,,
72,G TAOE BHZ 00,51.7954,245.717,P,2017-09-08T04:58:20.81Z,automatic,-0.8,1.04,,,,,,,,,,
73,IU PTCN BHZ 10,53.3828,222.113,P,2017-09-08T04:58:32.78Z,manual,-0.5,1.04,,,,,,,,,,
74,DK NRS BHZ --,57.4824,25.4002,P,2017-09-08T04:59:01.99Z,automatic,-0.7,1.05,,,,,,,,,,
75,HV NPOC HHZ --,58.5422,283.758,P,2017-09-08T04:59:10.51Z,automatic,0.3,1.06,,,,,,,,,,
76,HV UWE HHZ --,58.7096,283.812,P,2017-09-08T04:59:11.72Z,automatic,0.3,1.06,,,,,,,,,,
77,IU POHA BHZ 10,58.9004,284.22900000000004,P,2017-09-08T04:59:11.27Z,automatic,-1.6,1.06,,,,,,,,,,
78,IU SFJD BHZ 10,59.0156,18.2353,P,2017-09-08T04:59:12.39Z,automatic,-1.1,1.06,,,,,,,,,,
79,C1 LL04 BHZ --,59.0952,161.261,P,2017-09-08T04:59:12Z,automatic,-2.0,1.06,,,,,,,,,,
80,C1 LL05 BHZ --,59.228,162.352,P,2017-09-08T04:59:15.65Z,automatic,0.8,1.06,,,,,,,,,,
